"term" "model" "estimate" "std.error" "error" "error2" "within_95" "proportion"
"43" "mi-s50" "Unusual
Case
(Incorrect
prior)" 2.00203241980447 0.148480568522144 0.00203241980447302 0.020899344417888 97 0.97
"44" "mi-smax" "Unusual
Case
(Incorrect
prior)" 4.04976583154835 0.246374703422684 0.0497658315483526 0.076659849428307 94 0.94
"45" "phi" "Unusual
Case
(Incorrect
prior)" 6.99708979622154 NA -0.00291020377846057 0.030030541693202 94 0.94
"46" "range" "Unusual
Case
(Incorrect
prior)" 0.285835694151296 NA -0.0141643058487037 0.00940784126353527 90 0.9
"47" "sigma_O" "Unusual
Case
(Incorrect
prior)" 0.465260674565814 NA -0.0347393254341856 0.00833676309300852 91 0.91
"48" "tweedie_p" "Unusual
Case
(Incorrect
prior)" 1.49847858669471 NA -0.00152141330528744 5.94483906071927e-05 95 0.95
